version, CPU count,  real, user, sys
ocaml-4.06.1, 1, 2m46.408s, 2m23.344s, 0m22.138s
ocaml-4.06.1, 2, 1m31.523s, 2m20.871s, 0m16.788s
ocaml-4.06.1, 4, 1m1.020s, 2m20.858s, 0m17.835s
ocaml-4.06.1, 6, 0m50.298s, 2m22.095s, 0m18.523s
ocaml-4.06.1, 8, 0m45.947s, 2m22.573s, 0m18.969s
ocaml-4.06.1, 10, 0m44.104s, 2m23.226s, 0m19.556s
ocaml-4.06.1, 12, 0m41.980s, 2m23.105s, 0m20.115s
ocaml-4.06.1, 14, 0m41.371s, 2m23.753s, 0m20.508s
ocaml-4.06.1, 16, 0m39.978s, 2m23.533s, 0m20.578s
ocaml-4.06.1, 18, 0m39.464s, 2m24.106s, 0m20.989s
ocaml-4.06.1, 20, 0m39.715s, 2m24.968s, 0m21.092s
ocaml-4.06.1, 22, 0m39.227s, 2m25.306s, 0m21.151s
ocaml-4.06.1, 24, 0m39.366s, 2m25.702s, 0m21.481s
ocaml-4.06.1, 26, 0m39.173s, 2m25.368s, 0m21.419s
ocaml-4.06.1, 28, 0m38.536s, 2m25.469s, 0m21.826s
ocaml-4.06.1, 30, 0m38.491s, 2m25.536s, 0m21.717s
